----------------------  ------------------------------
tumbles                 ('Genesis', '49', '17')
backward.               ('Genesis', '49', '17')
heels.                  ('Genesis', '49', '19')
"asher's                ('Genesis', '49', '20')
fawns.                  ('Genesis', '49', '21')
steady,                 ('Genesis', '49', '24')
limber,                 ('Genesis', '49', '24')
"benjamin               ('Genesis', '49', '27')
wolf;                   ('Genesis', '49', '27')
embalm                  ('Genesis', '50', '2')
embalming.              ('Genesis', '50', '3')
return.'"               ('Genesis', '50', '5')
him-the                 ('Genesis', '50', '7')
lamented                ('Genesis', '50', '10')
bitterly;               ('Genesis', '50', '10')
mizraim.                ('Genesis', '50', '11')
badly.'                 ('Genesis', '50', '17')
slaves,"                ('Genesis', '50', '18')
reassured               ('Genesis', '50', '21')
coffin                  ('Genesis', '50', '26')
family:                 ('Exodus', '1', '1')
shrewdly                ('Exodus', '1', '10')
pithom                  ('Exodus', '1', '11')
spread;                 ('Exodus', '1', '12')
mortar                  ('Exodus', '1', '14')
shiphrah                ('Exodus', '1', '15')
delivery                ('Exodus', '1', '16')
stool,                  ('Exodus', '1', '16')
"hebrew                 ('Exodus', '1', '19')
arrive."                ('Exodus', '1', '19')
coated                  ('Exodus', '2', '3')
pitch.                  ('Exodus', '2', '3')
bathe,                  ('Exodus', '2', '5')
sorry                   ('Exodus', '2', '6')
babies,"                ('Exodus', '2', '6')
baby's                  ('Exodus', '2', '8')
older,                  ('Exodus', '2', '10')
glancing                ('Exodus', '2', '12')
hitting                 ('Exodus', '2', '13')
hebrew?"                ('Exodus', '2', '13')
egyptian?"              ('Exodus', '2', '14')
flock."                 ('Exodus', '2', '19')
sight-why               ('Exodus', '3', '3')
"moses!                 ('Exodus', '3', '4')
moses!"                 ('Exodus', '3', '4')
closer,"                ('Exodus', '3', '5')
honey-the               ('Exodus', '3', '8')
jacob-appeared          ('Exodus', '3', '16')
jebusites-a             ('Exodus', '3', '17')
honey.'                 ('Exodus', '3', '17')
you'?"                  ('Exodus', '4', '1')
hand?a                  ('Exodus', '4', '2')
staff,"                 ('Exodus', '4', '2')
"reach                  ('Exodus', '4', '4')
tail."                  ('Exodus', '4', '4')
"this,"                 ('Exodus', '4', '5')
cloak."                 ('Exodus', '4', '6')
cloak,"                 ('Exodus', '4', '7')
eloquent,               ('Exodus', '4', '10')
tongue."                ('Exodus', '4', '10')
mute?                   ('Exodus', '4', '11')
levite?                 ('Exodus', '4', '14')
son.'"                  ('Exodus', '4', '23')
{moses}                 ('Exodus', '4', '24')
knife,                  ('Exodus', '4', '25')
foreskin                ('Exodus', '4', '25')
{moses'}                ('Exodus', '4', '25')
"bridegroom             ('Exodus', '4', '26')
circumcision.)          ('Exodus', '4', '26')
desert.'"               ('Exodus', '5', '1')
work!"                  ('Exodus', '5', '4')
bricks;                 ('Exodus', '5', '7')
quota.                  ('Exodus', '5', '8')
lazy;                   ('Exodus', '5', '8')
stubble                 ('Exodus', '5', '12')
"complete               ('Exodus', '5', '13')
straw."                 ('Exodus', '5', '13')
before?"                ('Exodus', '5', '14')
bricks!'                ('Exodus', '5', '16')
"lazy,                  ('Exodus', '5', '17')
are-lazy!               ('Exodus', '5', '17')
bricks."                ('Exodus', '5', '18')
aliens.                 ('Exodus', '6', '4')
enslaving,              ('Exodus', '6', '5')
discouragement          ('Exodus', '6', '9')
lips?"                  ('Exodus', '6', '12')
hanoch                  ('Exodus', '6', '14')
133                     ('Exodus', '6', '18')
izhar                   ('Exodus', '6', '21')
nepheg                  ('Exodus', '6', '21')
elzaphan                ('Exodus', '6', '22')
sithri.                 ('Exodus', '6', '22')
elisheba,               ('Exodus', '6', '23')
abiasaph.               ('Exodus', '6', '24')
putiel,                 ('Exodus', '6', '25')
phinehas.               ('Exodus', '6', '25')
divisions."             ('Exodus', '6', '26')
eighty-three            ('Exodus', '7', '7')
'perform                ('Exodus', '7', '9')
miracle,'               ('Exodus', '7', '9')
pharaoh,'               ('Exodus', '7', '9')
snake."                 ('Exodus', '7', '9')
arts:                   ('Exodus', '7', '11')
staffs.                 ('Exodus', '7', '12')
"pharaoh's              ('Exodus', '7', '14')
unyielding;             ('Exodus', '7', '14')
egypt-over              ('Exodus', '7', '19')
canals,                 ('Exodus', '7', '19')
ponds                   ('Exodus', '7', '19')
reservoirs'-and         ('Exodus', '7', '19')
buckets                 ('Exodus', '7', '19')
jars."                  ('Exodus', '7', '19')
hard;                   ('Exodus', '7', '22')
troughs.                ('Exodus', '8', '3')
officials.'"            ('Exodus', '8', '4')
ponds,                  ('Exodus', '8', '5')
arts;                   ('Exodus', '8', '7')
"tomorrow,"             ('Exodus', '8', '10')
reeked                  ('Exodus', '8', '14')
ground,'                ('Exodus', '8', '16')
gnats."                 ('Exodus', '8', '16')
gnats.                  ('Exodus', '8', '17')
differently             ('Exodus', '8', '22')
tomorrow.'"             ('Exodus', '8', '23')
far.                    ('Exodus', '8', '28')
field-on                ('Exodus', '9', '3')
fields-both             ('Exodus', '9', '25')
spelt,                  ('Exodus', '9', '32')
later.)                 ('Exodus', '9', '32')
egyptians-something     ('Exodus', '10', '6')
now.'"                  ('Exodus', '10', '6')
ruined?"                ('Exodus', '10', '7')
you-if                  ('Exodus', '10', '10')
children!               ('Exodus', '10', '10')
hail."                  ('Exodus', '10', '12')
hail-everything         ('Exodus', '10', '15')
egypt-darkness          ('Exodus', '10', '21')
felt."                  ('Exodus', '10', '21')
behind."                ('Exodus', '10', '24')
'about                  ('Exodus', '11', '4')
mill,                   ('Exodus', '11', '5')
egypt-worse             ('Exodus', '11', '6')
animal.'                ('Exodus', '11', '7')
leave."                 ('Exodus', '11', '8')
"pharaoh                ('Exodus', '11', '9')
fire-head,              ('Exodus', '12', '9')
tucked                  ('Exodus', '12', '11')
firstborn-both          ('Exodus', '12', '12')
commemorate;            ('Exodus', '12', '14')
eat-that                ('Exodus', '12', '16')
bunch                   ('Exodus', '12', '22')
doorframe.              ('Exodus', '12', '22')
doorframe               ('Exodus', '12', '23')
ceremony.               ('Exodus', '12', '25')
egyptians.'"            ('Exodus', '12', '27')
"up!                    ('Exodus', '12', '31')
otherwise,"             ('Exodus', '12', '33')
passover:               ('Exodus', '12', '43')
circumcised;            ('Exodus', '12', '48')
"commemorate            ('Exodus', '13', '3')
leaving.                ('Exodus', '13', '4')
jebusites-the           ('Exodus', '13', '5')
honey-you               ('Exodus', '13', '5')
shorter.                ('Exodus', '13', '17')
etham                   ('Exodus', '13', '20')
hemmed                  ('Exodus', '14', '3')
services!"              ('Exodus', '14', '5')
egyptians-all           ('Exodus', '14', '9')
troops-pursued          ('Exodus', '14', '9')
egyptians'?             ('Exodus', '14', '12')
desert!"                ('Exodus', '14', '12')
still."                 ('Exodus', '14', '14')
driving.                ('Exodus', '14', '25')
horsemen-the            ('Exodus', '14', '28')
congealed               ('Exodus', '15', '8')
boasted,                ('Exodus', '15', '9')
spoils;                 ('Exodus', '15', '9')
wonders?                ('Exodus', '15', '11')
stone-                  ('Exodus', '15', '16')
marah,                  ('Exodus', '15', '23')
we?                     ('Exodus', '16', '8')
grumbling.'"            ('Exodus', '16', '9')
'at                     ('Exodus', '16', '12')
flakes                  ('Exodus', '16', '14')
tent.'"                 ('Exodus', '16', '16')
told;                   ('Exodus', '16', '17')
omer,                   ('Exodus', '16', '18')
needed,                 ('Exodus', '16', '21')
hot,                    ('Exodus', '16', '21')
much-two                ('Exodus', '16', '22')
omers                   ('Exodus', '16', '22')
person-and              ('Exodus', '16', '22')
'tomorrow               ('Exodus', '16', '23')
boil.                   ('Exodus', '16', '23')
morning.'"              ('Exodus', '16', '23')
stink                   ('Exodus', '16', '24')
any."                   ('Exodus', '16', '26')
instructions?           ('Exodus', '16', '28')
settled;                ('Exodus', '16', '35')
(an                     ('Exodus', '16', '36')
ephah.)                 ('Exodus', '16', '36')
test?"                  ('Exodus', '17', '2')
thirst?"                ('Exodus', '17', '3')
"walk                   ('Exodus', '17', '5')
rephidim.               ('Exodus', '17', '8')
winning,                ('Exodus', '17', '11')
winning.                ('Exodus', '17', '11')
tired,                  ('Exodus', '17', '12')
up-one                  ('Exodus', '17', '12')
other-so                ('Exodus', '17', '12')
sunset.                 ('Exodus', '17', '12')
amalekite               ('Exodus', '17', '13')
banner.                 ('Exodus', '17', '15')
zipporah,               ('Exodus', '18', '2')
land";                  ('Exodus', '18', '3')
rescuing                ('Exodus', '18', '9')
arrogantly."            ('Exodus', '18', '11')
evening?"               ('Exodus', '18', '14')
people-men              ('Exodus', '18', '21')
gain-and                ('Exodus', '18', '21')
lighter,                ('Exodus', '18', '22')
strain,                 ('Exodus', '18', '23')
satisfied."             ('Exodus', '18', '23')
day-they                ('Exodus', '19', '1')
eagles'                 ('Exodus', '19', '4')
relations."             ('Exodus', '19', '15')
blast.                  ('Exodus', '19', '16')
billowed                ('Exodus', '19', '18')
violently,              ('Exodus', '19', '18')
louder.                 ('Exodus', '19', '19')
